00   0 34475762 33555896 35395628 12.7 12.4 13.1 13466544 12979586 13953502 18.9 18.2 19.6  8922935  8511476  9334394 17.5 16.7 18.3  38885  38507  39263 4038584 3752962 4324206 20.8 19.4 22.3 United States                                 US
04  12     3578     2801     4355 24.1 18.8 29.3     1393     1029     1756 38.6 28.5 48.6     1006      722     1290 41.3 29.6 52.9  25107  21988  28210                                        La Paz County                                 AZ
04  13   344304   277539   411069 12.0  9.7 14.3   149679   116520   182837 18.6 14.5 22.7    89927    67659   112195 16.6 12.5 20.7  42192  40274  44100                                        Maricopa County                               AZ
04  15    24222    18813    29631 18.0 14.0 22.1     9736     7163    12308 31.8 23.4 40.2     6504     4627     8381 31.0 22.0 39.9  29326  26248  32387                                        Mohave County                                 AZ
04  17    27340    21448    33232 27.8 21.8 33.7    12205     9159    15250 32.1 24.1 40.1     9603     6984    12222 35.0 25.4 44.5  26304  23164  29426                                        Navajo County                                 AZ
04  19   126812   101673   151952 15.9 12.7 19.0    51857    40437    63278 24.4 19.0 29.7    33211    25000    41422 23.2 17.5 28.9  34049  31533  36551                                        Pima County                                   AZ
04  21    27470    21715    33225 18.5 14.6 22.4    11881     9090    14673 25.6 19.6 31.6     9028     6676    11380 28.1 20.8 35.4  29726  26581  32854                                        Pinal County                                  AZ
04  23    10575     8199    12951 26.6 20.6 32.6     5187     3831     6544 36.2 26.7 45.6     3559     2556     4562 36.3 26.0 46.5  27934  24999  30853                                        Santa Cruz County                             AZ
04  25    20325    16109    24540 13.3 10.5 16.1     7391     5663     9119 21.6 16.5 26.6     4945     3660     6230 20.2 15.0 25.5  32273  29381  35151                                        Yavapai County                                AZ
04  27    36547    27960    45133 27.3 20.9 33.7    18195    12751    23640 42.4 29.7 55.1    10816     7411    14221 37.0 25.4 48.7  28207  25295  31103                                        Yuma County                                   AZ
05   0   417961   390240   445681 16.4 15.3 17.5   156989   137955   176024 23.5 20.6 26.3    97973    80845   115101 20.3 16.7 23.8  29212  27505  30920   53898   45535   62261 30.0 25.4 34.7 Arkansas                                      AR
05   1     3692     2919     4466 17.8 14.1 21.5     1430     1094     1766 25.4 19.4 31.3      928      670     1186 22.0 15.9 28.1  30398  27317  33463                                        Arkansas County                               AR
